,NACC_Illumina_Pritzker960_ProbeAnnotation_Accession,NACC_Illumina_Pritzker960_ProbeAnnotation_Symbol,NACC_Illumina_Pritzker960_ProbeAnnotation_Chromosome,NACC_Illumina_Pritzker960_ProbeAnnotation_Probe_Start,NACC_Illumina_Pritzker960_ProbeAnnotation_Probe.Coordinates,NACC_Illumina_Pritzker960_ProbeAnnotation_SYMBOLREANNOTATED,NACC_Illumina_Pritzker960_ProbeAnnotation_ENTREZREANNOTATED,NACC_Illumina_Pritzker960_ProbeAnnotation_ProbeQuality,NACC_Illumina_Pritzker960_ProbeAnnotation_CodingZone,NACC_Illumina_Pritzker960_ProbeAnnotation_REPEATMASK,NACC_Illumina_Pritzker960_ProbeAnnotation_OVERLAPPINGSNP,NACC_Illumina_Pritzker960_ProbeAnnotation_CONTROLREPORTERGROUPNAME,NACC_Illumina_Pritzker960_ModelLM4_BP_Beta,NACC_Illumina_Pritzker960_ModelLM4_MDD_Beta,NACC_Illumina_Pritzker960_ModelLM4_Schiz_Beta,NACC_Illumina_Pritzker960_ModelLM4_BrainPH_Beta,NACC_Illumina_Pritzker960_ModelLM4_Age_Beta,NACC_Illumina_Pritzker960_ModelLM4_Gender_Beta,NACC_Illumina_Pritzker960_ModelLM4_PMI_Beta,NACC_Illumina_Pritzker960_ModelLM4_BP_DirectionOfEffect,NACC_Illumina_Pritzker960_ModelLM4_MDD_DirectionOfEffect,NACC_Illumina_Pritzker960_ModelLM4_Schiz_DirectionOfEffect,NACC_Illumina_Pritzker960_ModelLM4_BrainPH_DirectionOfEffect,NACC_Illumina_Pritzker960_ModelLM4_Age_DirectionOfEffect,NACC_Illumina_Pritzker960_ModelLM4_Gender_DirectionOfEffect,NACC_Illumina_Pritzker960_ModelLM4_PMI_DirectionOfEffect,NACC_Illumina_Pritzker960_ModelLM4_BP_Tstat,NACC_Illumina_Pritzker960_ModelLM4_MDD_Tstat,NACC_Illumina_Pritzker960_ModelLM4_Schiz_Tstat,NACC_Illumina_Pritzker960_ModelLM4_BrainPH_Tstat,NACC_Illumina_Pritzker960_ModelLM4_Age_Tstat,NACC_Illumina_Pritzker960_ModelLM4_Gender_Tstat,NACC_Illumina_Pritzker960_ModelLM4_PMI_Tstat,NACC_Illumina_Pritzker960_ModelLM4_BP_NominalPvalue,NACC_Illumina_Pritzker960_ModelLM4_MDD_NominalPvalue,NACC_Illumina_Pritzker960_ModelLM4_Schiz_NominalPvalue,NACC_Illumina_Pritzker960_ModelLM4_BrainPH_NominalPvalue,NACC_Illumina_Pritzker960_ModelLM4_Age_NominalPvalue,NACC_Illumina_Pritzker960_ModelLM4_Gender_NominalPvalue,NACC_Illumina_Pritzker960_ModelLM4_PMI_NominalPvalue,NACC_Illumina_Pritzker960_ModelLM4_BP_PercentileRank,NACC_Illumina_Pritzker960_ModelLM4_MDD_PercentileRank,NACC_Illumina_Pritzker960_ModelLM4_Schiz_PercentileRank,NACC_Illumina_Pritzker960_ModelLM4_BrainPH_PercentileRank,NACC_Illumina_Pritzker960_ModelLM4_Age_PercentileRank,NACC_Illumina_Pritzker960_ModelLM4_Gender_PercentileRank,NACC_Illumina_Pritzker960_ModelLM4_PMI_PercentileRank,NACC_Illumina_Pritzker960_ModelLM4_BP_FDR,NACC_Illumina_Pritzker960_ModelLM4_MDD_FDR,NACC_Illumina_Pritzker960_ModelLM4_Schiz_FDR,NACC_Illumina_Pritzker960_ModelLM4_BrainPH_FDR,NACC_Illumina_Pritzker960_ModelLM4_Age_FDR,NACC_Illumina_Pritzker960_ModelLM4_Gender_FDR,NACC_Illumina_Pritzker960_ModelLM4_PMI_FDR
ILMN_1680754,NM_016161.1,A4GNT,3,1053,139325896-139325945,A4GNT,51146,Perfect,Transcriptomic,NA,rs76043052,NA,0.016372193,0.007158939,0.021967315,0.137463063,0.000651163,0.015310095,0.000865542,Up,Up,Up,Up,Up,Up,Up,0.549154725,0.23602473,0.751124258,2.041664558,0.79023953,0.629782732,0.653073769,0.584306036,0.813968242,0.454604836,0.044213939,0.431536635,0.530487263,0.515430888,0.559344112,0.787104436,0.461765382,0.050302659,0.552448088,0.527009425,0.655888438,0.99916252,0.999998377,0.984034229,0.878381969,0.781054342,0.998854525,0.785839189
ILMN_1675204,NM_207289.1,AAA1,7,495,34574394-34574443,AAA1,404744,Bad,Transcriptomic?,L1M6_LINE_L1:35,rs80164474,NA,0.053084063,0.006230344,0.03786547,0.014450959,0.00153745,-0.018052693,0.002996542,Up,Up,Up,Up,Up,Down,Up,1.31014523,0.151143093,0.952676775,0.157929217,1.372895659,-0.546414593,1.663649345,0.193595358,0.880212749,0.343393234,0.874878559,0.17331325,0.586179603,0.099780792,0.150869665,0.862462647,0.34775113,0.874837177,0.299095855,0.580415294,0.257413225,0.99916252,0.999998377,0.982741903,0.998539064,0.579223387,0.998854525,0.387470495
ILMN_1755321,NM_015665.4,AAAS,12,1669,51987594-51987643,AAAS,8086,Perfect,Transcriptomic,NA,rs112987708,NA,0.025917604,0.011277065,0.057168758,-0.023846722,0.001527886,0.011549694,0.002250203,Up,Up,Up,Down,Up,Up,Up,0.752247277,0.321723572,1.691497968,-0.306482006,1.604492844,0.411113059,1.469175387,0.453932827,0.748433834,0.094320997,0.759969961,0.112229678,0.682000551,0.145392057,0.419546395,0.71216765,0.091180752,0.758447629,0.224618803,0.678875182,0.317600184,0.99916252,0.999998377,0.982741903,0.998539064,0.499599244,0.998854525,0.457716452
ILMN_1698554,NM_023928.3,AACS,12,3034,124193537-124193586,AACS,65985,Perfect,Transcriptomic,NA,NA,NA,0.058882123,0.033925144,0.044294755,-0.057028621,-0.003908748,0.094862086,0.001204183,Up,Up,Up,Down,Down,Up,Up,0.631374601,0.357557875,0.484175595,-0.270774046,-1.516430412,1.247444779,0.290457333,0.529451019,0.721540164,0.629477874,0.787206191,0.133035789,0.215581919,0.772157621,0.501800628,0.682438127,0.63217378,0.786338212,0.250517202,0.215117616,0.844724542,0.99916252,0.999998377,0.993251564,0.998539064,0.531044526,0.993911195,0.914093982
ILMN_1814092,XM_376454.3,AACSL,5,2565,178124669-178124718,AACSL,729522,Bad,Transcriptomic,L1MB4_LINE_L1:50,NA,NA,0.058588591,0.053762095,0.050002221,-0.110234352,-0.001321509,-0.030015925,-0.000232301,Up,Up,Up,Down,Down,Down,Down,1.954993986,1.763313615,1.700860165,-1.628770314,-1.59545197,-1.228313173,-0.174368843,0.053794258,0.081358726,0.092541169,0.106977628,0.114237619,0.222641971,0.861980723,0.02934641,0.051145506,0.088690522,0.115010344,0.227338901,0.221822083,0.908014712,0.99916252,0.999998377,0.982741903,0.92915745,0.502455004,0.993911195,0.949259657
ILMN_2061446,NM_020792.3,AADACL1,3,4105,173831263-173831312,NCEH1,57552,Perfect,Transcriptomic,NA,rs13064403,NA,0.146887463,0.160568356,0.029458623,-0.418182737,-0.000842693,-0.000381272,-0.002309026,Up,Up,Up,Down,Down,Down,Down,1.367743454,1.469605866,0.279627122,-1.724235297,-0.283903173,-0.004353914,-0.483654142,0.174915142,0.145275591,0.780427318,0.088216919,0.777159147,0.996536058,0.629846463,0.133131561,0.103708528,0.78350318,0.09573979,0.832464945,0.996551988,0.741016014,0.99916252,0.999998377,0.994846507,0.92142378,0.933519779,0.999781696,0.849850314
ILMN_1676336,NM_020792.3,AADACL1,3,3689,173831679-173831728,NCEH1,57552,Perfect,Transcriptomic,NA,NA,NA,0.064383957,0.170329437,0.036811486,-0.441885166,-0.002186389,0.004264397,-0.006924516,Up,Up,Up,Down,Down,Up,Down,0.689996712,1.794238088,0.402160724,-2.096955905,-0.847769651,0.056046953,-1.669340726,0.492032779,0.076248863,0.688552084,0.038900051,0.398892588,0.955432919,0.098644604,0.460539422,0.047697494,0.692513984,0.044670906,0.523752969,0.95490767,0.255957398,0.99916252,0.999998377,0.993251564,0.869087828,0.761559188,0.999263692,0.385364016
ILMN_1668851,NM_001013630.1,AADACL4,1,1239,12649348-12649397,AADACL4,343066,Perfect,Transcriptomic,NA,NA,NA,0.025237435,0.046984249,0.032095648,-0.098067571,-1.44E-05,0.018955435,-0.000177085,Up,Up,Up,Down,Down,Up,Down,0.841925106,1.540641308,1.09149398,-1.44865238,-0.017427179,0.775509289,-0.132890836,0.402138286,0.127033625,0.278069141,0.15102939,0.986135731,0.440141713,0.894586604,0.365795724,0.088422343,0.281779174,0.15998774,0.989617654,0.439544862,0.930388476,0.99916252,0.999998377,0.982741903,0.942748673,0.996280544,0.998854525,0.961519438
ILMN_2270015,NM_016228.3,AADAT,4,237,171247472-171247521,AADAT,51166,Perfect,Transcriptomic,NA,NA,NA,-0.026499037,-0.002323814,-0.054544732,0.061353683,0.00075428,-0.035211608,-0.001773401,Down,Down,Down,Up,Up,Down,Down,-0.84247743,-0.072619033,-1.767778857,0.863732646,0.867645059,-1.37290047,-1.268298284,0.401830872,0.942275972,0.080603883,0.390109816,0.387975605,0.17331176,0.208074859,0.365489235,0.933721554,0.077427017,0.393303195,0.514596583,0.173779787,0.387939621,0.99916252,0.999998377,0.982741903,0.990521556,0.753941277,0.993911195,0.536349279
ILMN_1726986,NM_182662.1,AADAT,4,1533,171218473-171218522,AADAT,51166,Bad,Transcriptomic,AluJr_SINE_Alu:50,rs114070660 rs116231186,NA,-0.032717646,-0.052588511,-0.01061203,0.055458573,-0.001447082,-0.054284218,-0.005192584,Down,Down,Down,Up,Down,Down,Down,-0.477542278,-0.754469432,-0.157897477,0.358433824,-0.764194541,-0.971691422,-1.704902389,0.634173598,0.452604781,0.874903495,0.720886971,0.446819017,0.333897925,0.091781236,0.611983756,0.39498889,0.875680025,0.721170792,0.566584936,0.335606467,0.246034787,0.99916252,0.999998377,0.998226609,0.998539064,0.78861789,0.993911195,0.373041704
ILMN_3237396,NM_024666.3,AAGAB,15,2622,67493540-67493589,AAGAB,79719,Perfect,Transcriptomic,NA,rs15974 rs115908756,NA,0.150866803,0.006757906,0.084641989,0.471857015,3.34E-05,0.098615372,0.003093976,Up,Up,Up,Up,Up,Up,Up,1.437117649,0.063274948,0.82192358,1.990304698,0.011494221,1.15204187,0.662982125,0.154271359,0.949692717,0.413367257,0.04969678,0.990855458,0.252459781,0.509094774,0.113822696,0.942418206,0.419661329,0.055129875,0.993180599,0.250862003,0.651520956,0.99916252,0.999998377,0.982741903,0.887669004,0.997658894,0.993911195,0.781375697
ILMN_1688755,NM_014911.3,AAK1,2,14921,69692089-69692138,AAK1,22848,Perfect,Transcriptomic,NA,NA,NA,0.017187035,0.089264616,0.073880287,-0.240951794,0.000607798,0.002010393,-0.005188847,Up,Up,Up,Down,Up,Up,Down,0.320797097,1.637682854,1.405739919,-1.99145337,0.410459351,0.046018807,-2.17864511,0.749133467,0.105099974,0.163362669,0.049568086,0.682478133,0.963400728,0.032062075,0.735767374,0.069841391,0.161443568,0.055014941,0.761704084,0.962838097,0.136081526,0.99916252,0.999998377,0.982741903,0.887669004,0.895964166,0.999263692,0.235576993
ILMN_1880387,NM_014911.3,AAK1,2,7973,69699037-69699086,AAK1,22848,Perfect,Transcriptomic,NA,NA,NA,-0.004947447,-0.011122369,0.033930276,0.013157641,-0.006170763,0.071220815,-0.006171048,Down,Down,Up,Up,Down,Up,Down,-0.060543785,-0.133784784,0.423275122,0.071297933,-2.732174512,1.068858831,-1.698765806,0.951861408,0.89388175,0.673139072,0.943324284,0.007618671,0.288090001,0.092936923,0.950655122,0.877978699,0.67665313,0.944601946,0.04229561,0.288023906,0.247605547,0.99916252,0.999998377,0.993251564,0.998539064,0.180108652,0.993911195,0.375317601
ILMN_1653165,NM_001087.3,AAMP,2,1483,219129112-219129161,AAMP,14,Perfect,Transcriptomic,NA,rs2305834,NA,0.014392465,0.021834763,0.03328451,-0.1803623,0.00149951,0.044361178,0.002974521,Up,Up,Up,Down,Up,Up,Up,0.288131667,0.429660372,0.679273898,-1.598866103,1.086141634,1.089140457,1.339550365,0.773931264,0.668504991,0.498767565,0.113475999,0.280416623,0.279099689,0.183880369,0.763466401,0.624358287,0.505670064,0.121293387,0.413454908,0.279020765,0.362117845,0.99916252,0.999998377,0.986056485,0.933369584,0.678118583,0.993911195,0.507780362
ILMN_1662364,NM_001605.2,AARS,16,3263,70286328-70286377,AARS,16,Perfect,Transcriptomic,NA,rs116553521,NA,0.023046484,0.089980958,0.045191929,-0.01114856,0.001631587,0.019283964,-0.002611734,Up,Up,Up,Down,Up,Up,Down,0.604968802,2.321666893,1.209305745,-0.129585855,1.549600166,0.620797006,-1.542209553,0.546774449,0.02258773,0.229821465,0.897193227,0.124867732,0.536356195,0.126652353,0.517661482,0.010688836,0.229675887,0.897708988,0.240019922,0.532526243,0.295073174,0.99916252,0.999998377,0.982741903,0.998539064,0.520173072,0.998854525,0.42920202
ILMN_1674698,NM_020745.2,AARS2,6,3701,44375472-44375521,AARS2,57505,Perfect,Transcriptomic,NA,NA,NA,0.034409273,-0.019140693,0.063404382,0.004920102,-0.001107711,0.001407497,0.001560688,Up,Down,Up,Up,Down,Up,Up,0.553223802,-0.302485116,1.039181916,0.035027566,-0.644366465,0.027752235,0.564452747,0.581529047,0.763004284,0.301599626,0.972138002,0.521033154,0.977923323,0.573898464,0.556011034,0.728871351,0.3060685,0.972913953,0.628917324,0.978545705,0.700061298,0.99916252,0.999998377,0.982741903,0.998863729,0.828460488,0.999349971,0.819783161
ILMN_1700461,NM_025267.2,AARSD1,17,1511,38357369-38357418,AARSD1,80755,Perfect,Transcriptomic,NA,NA,NA,0.059637555,0.028345723,0.074288756,-0.184620981,0.00040385,0.075039657,0.009576131,Up,Up,Up,Down,Up,Up,Up,0.874324165,0.408470968,1.110254856,-1.198517063,0.214217195,1.349175671,3.15812236,0.384348934,0.683931589,0.269948453,0.233970364,0.830878969,0.180781442,0.002183304,0.346678415,0.640410696,0.272584476,0.240364723,0.872998238,0.181173856,0.028541874,0.99916252,0.999998377,0.982741903,0.970625915,0.951753318,0.993911195,0.076477937
ILMN_1784269,NM_181806.2,AASDH,4,3265,57204703-57204752,AASDH,132949,Perfect,Transcriptomic,NA,NA,NA,0.000832295,-0.017073481,0.030377938,-0.018384587,0.002406533,-0.008525086,-0.002573038,Up,Down,Up,Down,Up,Down,Down,0.0225292,-0.454267491,0.838250493,-0.220360112,2.356902265,-0.283003848,-1.566754597,0.982077411,0.650767639,0.404187165,0.826106989,0.020673,0.777846167,0.120802306,0.982146962,0.603057237,0.410275075,0.825952034,0.075932879,0.77672209,0.28752586,0.99916252,0.999998377,0.982741903,0.998539064,0.272253612,0.998854525,0.420131238
ILMN_1698189,NM_015423.2,AASDHPPT,11,1986,105473754-105473803,AASDHPPT,60496,Perfect,Transcriptomic,NA,NA,NA,-0.00850883,0.025759591,-0.00369071,-0.025972554,-0.003945678,0.063869543,0.000626244,Down,Up,Down,Down,Down,Up,Up,-0.115353086,0.343256934,-0.051005405,-0.155913787,-1.935361922,1.061886681,0.190980415,0.908431091,0.732233261,0.959438138,0.876462182,0.056194049,0.291225971,0.848985915,0.905907593,0.694276301,0.959734886,0.876254693,0.14328404,0.291127117,0.898781703,0.99916252,0.999998377,0.999331185,0.998539064,0.392130871,0.993911195,0.944558076
ILMN_2096191,NM_015423.2,AASDHPPT,11,2396,105474164-105474213,AASDHPPT,60496,Bad,Transcriptomic,L1ME4a_LINE_L1:50,rs80195741 rs73537654,NA,0.059155782,0.078520169,-0.136101196,-0.361558307,-0.001924046,-0.009021234,-0.004029528,Up,Up,Down,Down,Down,Down,Down,0.454484429,0.592958134,-1.065934918,-1.230015732,-0.534833141,-0.084998798,-0.696405409,0.650612138,0.554747437,0.289402302,0.222006938,0.594129564,0.932457643,0.488031423,0.629300437,0.503294767,0.292621255,0.228986285,0.692820474,0.931652747,0.635123745,0.99916252,0.999998377,0.982741903,0.968545646,0.857551973,0.999263692,0.76835773
