,DLPFC_Illumina_Pritzker960_ProbeAnnotation_Accession,DLPFC_Illumina_Pritzker960_ProbeAnnotation_Symbol,DLPFC_Illumina_Pritzker960_ProbeAnnotation_Chromosome,DLPFC_Illumina_Pritzker960_ProbeAnnotation_Probe_Start,DLPFC_Illumina_Pritzker960_ProbeAnnotation_Probe.Coordinates,DLPFC_Illumina_Pritzker960_ProbeAnnotation_SYMBOLREANNOTATED,DLPFC_Illumina_Pritzker960_ProbeAnnotation_ENTREZREANNOTATED,DLPFC_Illumina_Pritzker960_ProbeAnnotation_ProbeQuality,DLPFC_Illumina_Pritzker960_ProbeAnnotation_CodingZone,DLPFC_Illumina_Pritzker960_ProbeAnnotation_REPEATMASK,DLPFC_Illumina_Pritzker960_ProbeAnnotation_OVERLAPPINGSNP,DLPFC_Illumina_Pritzker960_ProbeAnnotation_CONTROLREPORTERGROUPNAME,DLPFC_Illumina_Pritzker960_ModelLM4_BP_Beta,DLPFC_Illumina_Pritzker960_ModelLM4_MDD_Beta,DLPFC_Illumina_Pritzker960_ModelLM4_Schiz_Beta,DLPFC_Illumina_Pritzker960_ModelLM4_BrainPH_Beta,DLPFC_Illumina_Pritzker960_ModelLM4_Age_Beta,DLPFC_Illumina_Pritzker960_ModelLM4_Gender_Beta,DLPFC_Illumina_Pritzker960_ModelLM4_PMI_Beta,DLPFC_Illumina_Pritzker960_ModelLM4_BP_DirectionOfEffect,DLPFC_Illumina_Pritzker960_ModelLM4_MDD_DirectionOfEffect,DLPFC_Illumina_Pritzker960_ModelLM4_Schiz_DirectionOfEffect,DLPFC_Illumina_Pritzker960_ModelLM4_BrainPH_DirectionOfEffect,DLPFC_Illumina_Pritzker960_ModelLM4_Age_DirectionOfEffect,DLPFC_Illumina_Pritzker960_ModelLM4_Gender_DirectionOfEffect,DLPFC_Illumina_Pritzker960_ModelLM4_PMI_DirectionOfEffect,DLPFC_Illumina_Pritzker960_ModelLM4_BP_Tstat,DLPFC_Illumina_Pritzker960_ModelLM4_MDD_Tstat,DLPFC_Illumina_Pritzker960_ModelLM4_Schiz_Tstat,DLPFC_Illumina_Pritzker960_ModelLM4_BrainPH_Tstat,DLPFC_Illumina_Pritzker960_ModelLM4_Age_Tstat,DLPFC_Illumina_Pritzker960_ModelLM4_Gender_Tstat,DLPFC_Illumina_Pritzker960_ModelLM4_PMI_Tstat,DLPFC_Illumina_Pritzker960_ModelLM4_BP_NominalPvalue,DLPFC_Illumina_Pritzker960_ModelLM4_MDD_NominalPvalue,DLPFC_Illumina_Pritzker960_ModelLM4_Schiz_NominalPvalue,DLPFC_Illumina_Pritzker960_ModelLM4_BrainPH_NominalPvalue,DLPFC_Illumina_Pritzker960_ModelLM4_Age_NominalPvalue,DLPFC_Illumina_Pritzker960_ModelLM4_Gender_NominalPvalue,DLPFC_Illumina_Pritzker960_ModelLM4_PMI_NominalPvalue,DLPFC_Illumina_Pritzker960_ModelLM4_BP_PercentileRank,DLPFC_Illumina_Pritzker960_ModelLM4_MDD_PercentileRank,DLPFC_Illumina_Pritzker960_ModelLM4_Schiz_PercentileRank,DLPFC_Illumina_Pritzker960_ModelLM4_BrainPH_PercentileRank,DLPFC_Illumina_Pritzker960_ModelLM4_Age_PercentileRank,DLPFC_Illumina_Pritzker960_ModelLM4_Gender_PercentileRank,DLPFC_Illumina_Pritzker960_ModelLM4_PMI_PercentileRank,DLPFC_Illumina_Pritzker960_ModelLM4_BP_FDR,DLPFC_Illumina_Pritzker960_ModelLM4_MDD_FDR,DLPFC_Illumina_Pritzker960_ModelLM4_Schiz_FDR,DLPFC_Illumina_Pritzker960_ModelLM4_BrainPH_FDR,DLPFC_Illumina_Pritzker960_ModelLM4_Age_FDR,DLPFC_Illumina_Pritzker960_ModelLM4_Gender_FDR,DLPFC_Illumina_Pritzker960_ModelLM4_PMI_FDR
ILMN_1675204,NM_207289.1,AAA1,7,495,34574394-34574443,AAA1,404744,Bad,Transcriptomic?,L1M6_LINE_L1:35,rs80164474,NA,-0.019612344,0.022699131,-0.030942147,-0.088685676,0.00052082,0.010349549,0.000942741,Down,Up,Down,Down,Up,Up,Up,-0.46856724,0.536817163,-0.759319942,-0.921543072,0.439826147,0.296972227,0.498770717,0.640592699,0.592812937,0.449786824,0.359406188,0.661192591,0.767220825,0.619244558,0.669881055,0.579040186,0.559003415,0.44456118,0.743199129,0.738021087,0.731904994,0.955968878,0.999200957,0.804579911,0.808105025,0.889625321,0.999935585,0.846071186
ILMN_1698554,NM_023928.3,AACS,12,3034,124193537-124193586,AACS,65985,Perfect,Transcriptomic,NA,NA,NA,-0.005371995,-0.018962719,-0.113103923,0.254678621,-0.004104256,0.04174727,0.005430102,Down,Down,Down,Up,Down,Up,Up,-0.080617698,-0.281689152,-1.743429488,1.662290799,-2.177108913,0.752445162,1.804549484,0.935937758,0.778874671,0.084917453,0.100181972,0.032278066,0.453886836,0.074729082,0.941578177,0.771415707,0.184683502,0.167798582,0.124948407,0.401373307,0.221567671,0.993757649,0.999200957,0.459628492,0.597012435,0.258166482,0.999935585,0.337196323
ILMN_1814092,XM_376454.3,AACSL,5,2565,178124669-178124718,AACSL,729522,Bad,Transcriptomic,L1MB4_LINE_L1:50,NA,NA,0.042161799,0.026514702,-0.004202434,-0.036567439,0.000536236,-0.026640232,0.000899315,Up,Up,Down,Down,Up,Down,Up,1.084685594,0.67522145,-0.111049742,-0.409165511,0.48763106,-0.823141943,0.512344962,0.281164277,0.501389558,0.911841814,0.683459611,0.627081483,0.412758075,0.60975415,0.322014183,0.483058797,0.932235188,0.73494428,0.716033169,0.355934111,0.725526247,0.873048193,0.999200957,0.978124218,0.929947521,0.875703166,0.999935585,0.840401189
ILMN_2061446,NM_020792.3,AADACL1,3,4105,173831263-173831312,NCEH1,57552,Perfect,Transcriptomic,NA,rs13064403,NA,-0.022909641,0.053541191,-0.089060232,-0.450704052,-0.000704044,0.009661154,0.005945406,Down,Up,Down,Down,Down,Up,Up,-0.32387719,0.749246707,-1.293236134,-2.771234431,-0.351813979,0.164037466,1.861270877,0.746836047,0.455801634,0.199474695,0.006874709,0.725858809,0.870095711,0.066203905,0.765299614,0.437281903,0.321188698,0.029679937,0.793478669,0.855014821,0.208622566,0.975666663,0.999200957,0.620834701,0.231429614,0.914695939,0.999935585,0.31733818
ILMN_1676336,NM_020792.3,AADACL1,3,3689,173831679-173831728,NCEH1,57552,Perfect,Transcriptomic,NA,NA,NA,0.028509276,0.030417763,0.000133455,-0.294129104,0.001637634,-0.017946638,0.003112759,Up,Up,Up,Down,Up,Down,Up,0.395574663,0.417776779,0.001901991,-1.775006751,0.80317453,-0.299073117,0.956431402,0.693421701,0.677176328,0.998486942,0.079519257,0.424140718,0.765622942,0.341598893,0.718397058,0.665603542,0.999099471,0.141120408,0.552324491,0.736520206,0.516003152,0.965208484,0.999200957,0.999386919,0.563377507,0.767846544,0.999935585,0.662009314
ILMN_2270015,NM_016228.3,AADAT,4,237,171247472-171247521,AADAT,51166,Perfect,Transcriptomic,NA,NA,NA,0.006665285,-0.00251073,-0.022049529,-0.134005706,-0.000882803,0.029638112,4.80E-05,Up,Down,Down,Down,Down,Up,Up,0.212743705,-0.079325485,-0.722885119,-1.86029169,-0.995984835,1.136162751,0.033959008,0.832042313,0.93696241,0.471758455,0.066343848,0.322117995,0.259119555,0.972990405,0.843232899,0.934899253,0.578439833,0.123597614,0.463960077,0.206183633,0.981764287,0.986534305,0.999200957,0.815570484,0.536357804,0.69421968,0.999935585,0.99103388
ILMN_1726986,NM_182662.1,AADAT,4,1533,171218473-171218522,AADAT,51166,Bad,Transcriptomic,AluJr_SINE_Alu:50,rs114070660 rs116231186,NA,0.08655416,0.091387038,0.043007115,-0.168001895,0.000625865,0.011996837,-0.001924425,Up,Up,Up,Down,Up,Up,Down,1.823579438,1.90588234,0.930698446,-1.539467961,0.466088327,0.303567657,-0.897850056,0.071772411,0.060085805,0.354676693,0.127448823,0.642358666,0.762207925,0.371831784,0.091141045,0.054969795,0.473115455,0.202318862,0.727702525,0.732843045,0.542793891,0.785793347,0.999200957,0.749443103,0.629428963,0.882423232,0.999935585,0.685033104
ILMN_3237396,NM_024666.3,AAGAB,15,2622,67493540-67493589,AAGAB,79719,Perfect,Transcriptomic,NA,rs15974 rs115908756,NA,0.102692279,0.063983751,0.09592836,0.206752894,0.000975556,0.051937264,0.005255646,Up,Up,Up,Up,Up,Up,Up,1.444886357,0.891128522,1.386356296,1.265223446,0.485175449,0.87766133,1.637525156,0.152209962,0.375405644,0.169306963,0.209289756,0.628814864,0.382630923,0.105261803,0.18134404,0.357810214,0.289632659,0.294773179,0.717121309,0.325053469,0.266444036,0.839343614,0.999200957,0.584509319,0.709527241,0.876859823,0.999935585,0.395061583
ILMN_1688755,NM_014911.3,AAK1,2,14921,69692089-69692138,AAK1,22848,Perfect,Transcriptomic,NA,NA,NA,-0.015019794,-0.013581281,-0.066837304,-0.101151703,-0.000277607,0.024704422,0.001861296,Down,Down,Down,Down,Down,Up,Up,-0.378631367,-0.338897289,-1.730627042,-1.109035773,-0.247362948,0.747961624,1.039044465,0.705916917,0.735532832,0.087190376,0.270579865,0.805230955,0.456572268,0.30176569,0.72852801,0.725863945,0.187497655,0.358147912,0.852650932,0.404037372,0.481745525,0.968585768,0.999200957,0.464934723,0.755497536,0.944336451,0.999935585,0.626400608
ILMN_1880387,NM_014911.3,AAK1,2,7973,69699037-69699086,AAK1,22848,Perfect,Transcriptomic,NA,NA,NA,0.046238311,0.016275104,-0.014338795,0.170467443,0.001646832,0.048353694,0.007111432,Up,Up,Down,Up,Up,Up,Up,0.825198568,0.28751137,-0.262845826,1.323176199,1.038859215,1.036425649,2.810473853,0.41159623,0.774428908,0.793313023,0.189367258,0.301851341,0.30297804,0.006153885,0.450827361,0.766087576,0.839780871,0.272747739,0.446474804,0.248883719,0.06258677,0.912952553,0.999200957,0.944500028,0.694224255,0.675934541,0.999935585,0.09832566
ILMN_1653165,NM_001087.3,AAMP,2,1483,219129112-219129161,AAMP,14,Perfect,Transcriptomic,NA,rs2305834,NA,-0.031518509,-0.016828377,0.027623323,-0.021483022,0.001289914,-0.002390092,-0.000802104,Down,Down,Up,Down,Up,Down,Down,-0.676954976,-0.357775921,0.609399337,-0.200682376,0.979277441,-0.061653935,-0.381496613,0.500294564,0.721408444,0.543904592,0.841432048,0.33025493,0.950984887,0.703798084,0.536490188,0.712318487,0.639225545,0.868597801,0.471389441,0.945330382,0.792127875,0.931935045,0.999200957,0.850880563,0.968724589,0.700598913,0.999935585,0.888411414
ILMN_1662364,NM_001605.2,AARS,16,3263,70286328-70286377,AARS,16,Perfect,Transcriptomic,NA,rs116553521,NA,-0.017792212,-0.053863148,0.039772008,0.186510793,0.004352867,0.009881952,0.000286449,Down,Down,Up,Up,Up,Up,Up,-0.459795585,-1.37784803,1.05570918,2.096324663,3.976135148,0.306711145,0.163925861,0.646850823,0.17190986,0.294128027,0.039062004,0.000147731,0.759822251,0.870183295,0.675809538,0.163933811,0.416269558,0.086901054,0.010055908,0.729766238,0.909384263,0.956346174,0.999200957,0.706553415,0.449350352,0.014690945,0.999935585,0.956866066
ILMN_1674698,NM_020745.2,AARS2,6,3701,44375472-44375521,AARS2,57505,Perfect,Transcriptomic,NA,NA,NA,-0.009917505,-0.065951873,0.026643161,0.14259386,0.001430647,0.0330242,0.007735449,Down,Down,Up,Up,Up,Up,Up,-0.189605154,-1.248100527,0.523197157,1.185682056,0.966787417,0.758284175,3.274908854,0.850075963,0.215462083,0.602214519,0.23909112,0.336425619,0.450403169,0.00153655,0.859742599,0.205133016,0.685077483,0.325653822,0.478255975,0.397358448,0.033244531,0.988420142,0.999200957,0.879045851,0.734109676,0.703390654,0.999935585,0.046212553
ILMN_1700461,NM_025267.2,AARSD1,17,1511,38357369-38357418,AARSD1,80755,Perfect,Transcriptomic,NA,NA,NA,-0.023891008,-0.066135828,-0.010500261,-0.121100755,0.001380153,0.024105039,0.009243921,Down,Down,Down,Down,Up,Up,Up,-0.415682912,-1.139040684,-0.187654833,-0.916419417,0.848801042,0.50371808,3.561639133,0.678702053,0.257924101,0.851599795,0.362070495,0.398404461,0.615778016,0.000610124,0.70447638,0.247120183,0.886233162,0.447300289,0.531237102,0.573036659,0.022588271,0.963272851,0.999200957,0.960694058,0.809251558,0.749956018,0.999935585,0.026942207
ILMN_1784269,NM_181806.2,AASDH,4,3265,57204703-57204752,AASDH,132949,Perfect,Transcriptomic,NA,NA,NA,0.033036111,0.072553989,0.098074295,-0.091051546,0.003136453,-0.028994803,-0.001031699,Up,Up,Up,Down,Up,Down,Down,0.779214173,1.693963161,2.37604717,-0.934060443,2.614915615,-0.821372348,-0.538873524,0.438043355,0.093977336,0.019774137,0.352950035,0.010577468,0.413759351,0.591399448,0.476229785,0.087726539,0.075269221,0.439233049,0.070166223,0.357209861,0.712205921,0.919417032,0.999200957,0.262712125,0.803559832,0.150546454,0.999935585,0.830351487
ILMN_1698189,NM_015423.2,AASDHPPT,11,1986,105473754-105473803,AASDHPPT,60496,Perfect,Transcriptomic,NA,NA,NA,-0.012410707,-0.002240182,-0.071064698,-0.240410426,-0.000183851,-0.027359721,0.002058018,Down,Down,Down,Down,Down,Down,Up,-0.230066367,-0.0411069,-1.353139217,-1.938338665,-0.120468311,-0.609144448,0.844834956,0.818599542,0.967308223,0.179641707,0.055940669,0.904399865,0.544072708,0.400602868,0.83058797,0.966155116,0.300701662,0.109451803,0.929421035,0.495441072,0.565869949,0.985398484,0.999200957,0.597384967,0.511040763,0.973076784,0.999935585,0.707941585
ILMN_2096191,NM_015423.2,AASDHPPT,11,2396,105474164-105474213,AASDHPPT,60496,Bad,Transcriptomic,L1ME4a_LINE_L1:50,rs80195741 rs73537654,NA,-0.068843355,0.041461456,-0.057207261,-0.347712861,-3.50E-05,0.025735736,0.002524117,Down,Up,Down,Down,Down,Up,Up,-1.107396101,0.660176795,-0.945200752,-2.432660215,-0.019902321,0.497198211,0.899117512,0.27128374,0.510946634,0.347267343,0.017111176,0.984168493,0.620348203,0.371160288,0.311545533,0.492326742,0.466173877,0.050166973,0.988405688,0.577839481,0.542118495,0.870414932,0.999200957,0.74490341,0.341084476,0.995664245,0.999935585,0.684565375
